id;nombre;numero_serie;descripcion;descripcion_content_type;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;HDD;XML;../fake-data/blob/hipster.png;image/png;Videojuegos El Bedfordshire;2022-06-17T16:16:13;Open-source Guantes users;2022-06-17T05:55:33;Hogar
2;Versatil;Polarizado 24/7 Berkshire;../fake-data/blob/hipster.png;image/png;Russian artificial;2022-06-17T06:08:17;Decoración input Mesa;2022-06-17T05:28:11;Desarrollador
3;Unit;Somali navigate conocimiento;../fake-data/blob/hipster.png;image/png;Madera Fantástico Genérico;2022-06-17T10:05:53;platforms;2022-06-17T17:39:37;Sabroso XML calculate
4;bypass Buckinghamshire Gerente;HTTP Cambridgeshire;../fake-data/blob/hipster.png;image/png;benficios;2022-06-17T04:34:08;Oficial Avon;2022-06-16T22:04:16;navigating Asimilado
5;hack;Increible Indian;../fake-data/blob/hipster.png;image/png;Optimización Gerente;2022-06-17T08:39:24;Decoración Pollo;2022-06-17T02:26:23;Azul iniciativa Poblado
6;Cantabria;Diverso Amigable;../fake-data/blob/hipster.png;image/png;navigating;2022-06-17T13:12:22;Queso;2022-06-17T15:37:38;bandwidth Account index
7;Fantástico back-end;Comunidad;../fake-data/blob/hipster.png;image/png;port Regional;2022-06-16T22:20:28;scalable Camino;2022-06-16T20:34:38;programming Mesa synthesize
8;Consultor Masía SAS;Morado;../fake-data/blob/hipster.png;image/png;intermedia e-commerce;2022-06-17T15:31:16;Usabilidad;2022-06-16T22:24:35;Account Edificio Timor-Leste
9;Práctico Plástico;parse acceso crítica;../fake-data/blob/hipster.png;image/png;Negro synthesizing;2022-06-16T21:01:55;Hormigon;2022-06-17T18:37:55;Dinar Bacon program
10;Extremadura XML platforms;Bajada Pizza;../fake-data/blob/hipster.png;image/png;fritas;2022-06-16T21:29:54;Directo seize markets;2022-06-17T17:29:23;bandwidth Ladrillo Galicia
