id;fecha;numero_serie;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-17;Asturias Account maximize;Buckinghamshire;2022-06-17T11:34:20;protocolo TCP index;2022-06-16T20:09:18;open-source payment
2;2022-06-17;Negro;orchestrate;2022-06-17T01:50:23;Kroon Cantabria;2022-06-16T21:59:46;Dollar
3;2022-06-17;Avon;withdrawal users reboot;2022-06-17T11:15:26;Hormigon Aragón hack;2022-06-17T05:55:58;Congo
4;2022-06-17;backing Blanco Bloque;coherente Berkshire Increible;2022-06-17T17:44:29;primary Raton PCI;2022-06-17T08:27:34;invoice
5;2022-06-17;Futuro;cross-platform vortals;2022-06-17T16:22:31;a Savings capacitor;2022-06-17T13:57:38;TCP transmitting Artesanal
6;2022-06-17;Dominican;panel Auto AGP;2022-06-17T14:35:52;auxiliary Ingeniero Bélgica;2022-06-17T09:06:09;Sincronizado Juguetería
7;2022-06-17;Pequeño quantifying Lek;customized;2022-06-17T00:51:45;Comunidad monitorizar;2022-06-17T18:12:27;Pizza
8;2022-06-17;Ergonómico bypassing;Humano bluetooth;2022-06-17T18:09:47;withdrawal Amarillo optical;2022-06-17T16:53:20;Relacciones
9;2022-06-17;experiences;Administrador;2022-06-17T12:42:19;Moda AI;2022-06-16T19:53:45;Avon relationships Identidad
10;2022-06-17;Camiseta Extremadura;Morado;2022-06-16T21:47:18;Navarra;2022-06-16T23:13:22;lateral funcionalidad Ronda
