id;fecha;hora_inicio;hora_fin;area;identificador;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-17;2022-06-17T00:25:08;2022-06-17T07:04:31;viral Buckinghamshire;Raton;transition;2022-06-17T05:54:48;secundaria 24/7 robust;2022-06-16T22:01:27;Producto Respuesta
2;2022-06-16;2022-06-17T16:57:28;2022-06-17T12:54:56;Municipio Pescado;Belice de Extremadura;Rusia;2022-06-17T15:57:16;usuario Música;2022-06-16T21:50:51;open-source Negro
3;2022-06-17;2022-06-16T20:49:12;2022-06-17T15:00:23;copying Avon;Bricolaje dot-com;Global enterprise wireless;2022-06-17T09:03:50;Paradigma;2022-06-17T14:31:34;calculate abierto calculating
4;2022-06-16;2022-06-17T18:28:36;2022-06-17T16:48:20;Investment Lempira;Canarias;Account mobile Amarillo;2022-06-17T12:06:33;Rojo protocol;2022-06-17T09:58:23;Negro Funcionario
5;2022-06-16;2022-06-16T21:10:06;2022-06-17T03:39:24;compress Negro synthesize;Negro primary;systems;2022-06-16T22:04:09;monitorizada;2022-06-17T11:19:16;cero Desarrollador
6;2022-06-17;2022-06-17T16:38:54;2022-06-16T19:21:16;Baht;Algodón cultivate;middleware Fiji;2022-06-17T01:16:50;Teclado archivo;2022-06-17T12:49:13;complejidad
7;2022-06-17;2022-06-17T14:36:44;2022-06-17T11:04:02;Verde;Parcela Valenciana;Card Morado Papelería;2022-06-17T01:40:35;compressing Papelería;2022-06-17T03:40:32;Lanka
8;2022-06-17;2022-06-16T20:49:47;2022-06-17T08:51:41;methodologies Amarillo circuit;Escudo Pequeño;deposit quantify;2022-06-17T10:01:44;Adaptativo deploy Principado;2022-06-17T04:29:56;Zapatos
9;2022-06-17;2022-06-16T23:59:05;2022-06-17T18:08:41;schemas Obligatorio Cambridgeshire;Programable;driver;2022-06-17T06:38:39;Algodón;2022-06-16T22:56:43;Regional Berkshire
10;2022-06-17;2022-06-17T05:37:13;2022-06-17T08:04:22;Chile coherente;Cliente;overriding;2022-06-17T16:51:23;Metal;2022-06-17T05:46:07;Negro Cambridgeshire Corporativo
