id;fecha;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-16;matrix Bedfordshire;2022-06-16T19:18:40;Partida;2022-06-17T05:24:56;Rústico Paradigma Ladrillo
2;2022-06-17;Implementación;2022-06-16T23:21:53;deploy;2022-06-16T19:56:49;fallos AGP envisioneer
3;2022-06-17;Senior payment;2022-06-17T08:28:30;fases withdrawal Guantes;2022-06-16T21:36:40;digital
4;2022-06-17;Grupo Marroquinería state;2022-06-16T19:08:26;contenido Granito;2022-06-17T12:56:55;redundant 1080p
5;2022-06-17;Hungria Borders Pescado;2022-06-17T07:59:12;Cine;2022-06-16T20:00:42;Acero
6;2022-06-17;customized quantifying Italia;2022-06-17T05:44:48;Atún;2022-06-17T07:54:11;Navarra invoice
7;2022-06-17;deposit web-readiness;2022-06-17T17:12:35;Toallas deposit card;2022-06-16T21:31:41;state Relacciones Cambridgeshire
8;2022-06-17;Blanco Métricas;2022-06-16T23:23:41;trabajo Asistente supply-chains;2022-06-17T07:03:10;Implementación TCP synthesize
9;2022-06-17;Gris Account Verde;2022-06-17T13:02:51;copying;2022-06-17T01:16:51;intuitive
10;2022-06-17;Card;2022-06-17T17:52:55;blockchains Rojo proceso;2022-06-17T00:45:36;Castilla Camiseta
