id;dia;hora_entrada;hora_salida;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;81375;2022-06-17T14:10:16;2022-06-17T00:02:45;Práctico orchestrate;2022-06-17T07:14:36;Andalucía middleware;2022-06-17T02:34:00;GB
2;5649;2022-06-17T16:48:54;2022-06-17T17:43:39;Clonado infraestructura;2022-06-17T09:40:17;Oficial Seguridada;2022-06-17T13:32:19;deposit
3;90075;2022-06-16T21:56:10;2022-06-16T20:32:36;Cantabria;2022-06-17T17:56:25;generating;2022-06-16T23:29:32;Multi La Mercados
4;74687;2022-06-17T14:42:39;2022-06-16T21:05:14;Productor interface;2022-06-16T22:39:28;Camiseta Mascotas;2022-06-16T19:04:20;payment
5;49319;2022-06-17T03:36:41;2022-06-17T10:49:09;Cataluña supply-chains Planificador;2022-06-17T15:22:16;Ingeniero recontextualize Borders;2022-06-17T08:28:44;convergence Automatizado input
6;70709;2022-06-17T09:33:07;2022-06-17T03:01:56;Valenciana Sorprendente;2022-06-17T06:53:47;Dinar;2022-06-17T05:08:41;Maldivas
7;32514;2022-06-17T02:28:55;2022-06-17T10:04:21;USB;2022-06-17T16:58:37;Berkshire;2022-06-16T20:14:27;Sorprendente
8;28127;2022-06-17T17:06:27;2022-06-17T04:55:05;Inteligente;2022-06-17T13:14:25;Coche Ruanda;2022-06-17T14:28:24;Plástico
9;70027;2022-06-17T18:26:47;2022-06-17T03:35:52;Humano e-tailers Decoración;2022-06-17T02:44:17;Mercados deposit Negro;2022-06-17T05:16:03;interactiva
10;17226;2022-06-17T13:06:20;2022-06-17T07:11:11;Ejecutivo ADP matrices;2022-06-17T18:42:48;Multi Avon programming;2022-06-17T10:12:42;Inverso
