id;fecha;status;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-17;false;Francia payment;2022-06-17T06:51:03;auxiliary Avon modular;2022-06-17T01:55:35;groupware Colonia
2;2022-06-17;true;copy;2022-06-17T12:22:23;Metal Joyería;2022-06-17T13:36:32;Actualizable invoice
3;2022-06-17;false;Pelota Marroquinería;2022-06-17T16:21:23;SQL;2022-06-16T21:28:48;Administrador Electrónica
4;2022-06-17;false;Savings Director;2022-06-17T11:42:27;Cataluña;2022-06-17T17:29:30;IB
5;2022-06-17;false;Account;2022-06-17T12:15:13;Intranet;2022-06-17T10:16:24;Informática
6;2022-06-16;false;Ordenador Bedfordshire;2022-06-16T20:09:43;Japón Hormigon;2022-06-17T11:08:34;Aldea card viral
7;2022-06-17;true;Jordania estrategia necesidades;2022-06-17T05:20:47;Madera International;2022-06-17T14:39:53;online de
8;2022-06-17;true;Ergonómico SQL Nicaragua;2022-06-17T17:04:37;multi-byte USB panel;2022-06-16T23:39:10;Inteligente Supervisor visionary
9;2022-06-17;true;Gris;2022-06-17T16:16:21;Granito Borders;2022-06-17T12:15:09;Bacon Ladrillo port
10;2022-06-17;true;Bedfordshire a Ladrillo;2022-06-17T01:10:05;Atún invoice;2022-06-17T07:30:21;Atún bypassing clicks-and-mortar
