id;fecha;status;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-17;false;Account withdrawal website;2022-06-16T22:36:08;payment Ejecutivo;2022-06-17T02:54:31;4th PNG
2;2022-06-16;true;payment;2022-06-17T00:11:10;Ensalada Bebes Granito;2022-06-17T07:24:55;sinergia
3;2022-06-17;false;strategic e-services;2022-06-17T05:24:00;Barranco;2022-06-16T22:52:35;SMS
4;2022-06-16;false;Comunidad;2022-06-16T23:11:41;bluetooth;2022-06-17T05:31:41;Antillian
5;2022-06-16;true;Travesía Asturias;2022-06-17T02:45:27;Práctico killer Muelle;2022-06-16T22:34:20;incremental Senegal
6;2022-06-17;false;Productor multiestado hacking;2022-06-17T01:50:16;Fantástico;2022-06-17T04:45:19;Guapo Pequeño Librería
7;2022-06-16;true;Cantabria Dollar distributed;2022-06-17T00:26:14;multi-byte web Extrarradio;2022-06-17T11:39:44;feed Sopa
8;2022-06-17;true;withdrawal;2022-06-17T15:14:39;Plástico Patatas;2022-06-17T04:12:09;Pollo tangible
9;2022-06-17;true;Granito;2022-06-16T20:10:56;Mercado;2022-06-17T01:15:59;Mauritania
10;2022-06-16;false;paradigma Castilla-La;2022-06-16T20:58:36;portals withdrawal Guantes;2022-06-16T22:12:05;hibrida 1080p Cantabria
