id;nombre;material;color;descripcion;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;architect;Gerente;Negro;Centralizado;Plástico;2022-06-17T12:28:44;Rústico primary;2022-06-17T04:09:58;synthesize SMS initiatives
2;Somalia Jamaica;hardware mesh;Amarillo;Zapatos Guapo Perseverando;Account Savings XML;2022-06-17T07:38:30;Acero Negro bluetooth;2022-06-17T12:29:38;Borders
3;JBOD;out-of-the-box Zapatos a;Blanco;JSON;de Siria panel;2022-06-17T11:17:28;Eritrea;2022-06-17T07:22:57;Gris bypassing
4;24/7;Bricolaje;Morado;AI;Descentralizado;2022-06-17T18:52:32;Silla intranet web-readiness;2022-06-17T18:31:58;card
5;terciaria;el Polarizado Parafarmacia;Amarillo;Morado;navigating Negro Inteligente;2022-06-17T12:04:43;Coche;2022-06-17T12:33:04;Barranco Gráfica Marketing
6;Interacciones;Configurable;Gris;innovative Morado;Violeta payment Aragón;2022-06-17T06:59:41;interfaces mesh;2022-06-17T00:44:30;Rua Heredado primary
7;Salida;Supervisor payment;Rojo;THX viral Marketing;interface Bedfordshire Auto;2022-06-17T04:29:00;Parque copying;2022-06-16T21:27:13;Asistente Account
8;Valenciana;Electrónica Card Granito;Azul;array card;previsión Malawi;2022-06-17T06:05:35;Caserio visualize;2022-06-17T03:46:29;overriding
9;Canarias Chad Savings;Ensalada invoice Director;Blanco;Card Investigación;Bedfordshire Ecuatorial;2022-06-16T22:20:16;visualize;2022-06-17T14:23:19;Ronda deposit Avon
10;País Bebes;Ladrillo ADP withdrawal;Morado;payment Loan contexto;Granito;2022-06-17T01:17:53;Gerente;2022-06-16T23:44:08;Salida sexy
