id;fecha;status;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-17;false;array;2022-06-16T21:20:49;Ordenador;2022-06-17T03:28:35;Toallas Descentralizado
2;2022-06-17;true;neural online;2022-06-16T20:43:21;wireless;2022-06-17T05:42:31;web-enabled
3;2022-06-17;true;e-commerce Bicicleta;2022-06-17T03:38:03;Genérico Sorprendente Haiti;2022-06-17T13:56:21;Asistente
4;2022-06-17;true;scale Toallas calculate;2022-06-17T12:07:54;Increible Account withdrawal;2022-06-17T11:29:50;política Madrid Ensalada
5;2022-06-17;true;24/7;2022-06-17T04:32:42;deposit;2022-06-17T05:21:42;parse
6;2022-06-17;true;Cine Hormigon;2022-06-17T11:13:21;Contabilidad primary connecting;2022-06-17T12:52:35;Increible Amarillo Suriname
7;2022-06-17;false;strategize Manzana;2022-06-17T17:04:18;visualize Parafarmacia;2022-06-17T18:11:18;maximize
8;2022-06-17;false;navigate;2022-06-17T16:26:24;Regional;2022-06-17T04:23:25;evolve
9;2022-06-17;false;Guantes;2022-06-17T05:32:58;Buckinghamshire basado;2022-06-17T17:59:32;Vasco Valenciana
10;2022-06-17;true;synthesizing;2022-06-17T02:36:16;invoice;2022-06-17T15:12:26;Expandido
