id;cantidad;cantidad_minima_est;cantidad_maxima_est;status;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;80655;76976;40814;false;compress Account Investment;2022-06-17T01:32:35;IB Centralizado;2022-06-17T05:22:29;Guapo
2;95038;96120;61624;true;fritas Interno;2022-06-17T14:09:33;invoice Pizza datos;2022-06-17T10:01:38;Cambridgeshire online harness
3;39118;11773;97838;false;Ergonómico Peso;2022-06-17T03:02:13;Glorieta Investigación;2022-06-16T20:33:01;software payment driver
4;52607;59851;2875;true;Toallas JSON;2022-06-17T14:48:20;Increible;2022-06-17T01:05:20;Rojo withdrawal Compartible
5;10481;6012;64840;false;Money synthesizing en;2022-06-16T19:52:33;enable;2022-06-17T17:19:41;Morado radical
6;38165;34238;19564;true;vortals synergies microchip;2022-06-17T04:52:31;Jamaican compress;2022-06-17T05:57:28;up Cabo
7;35238;17091;78793;true;payment bluetooth;2022-06-17T10:51:00;Corporativo Avon;2022-06-17T05:25:40;Fantástico
8;5846;55527;88678;false;Credit hibrida Humano;2022-06-16T21:25:29;cliente;2022-06-16T21:39:36;Rojo
9;40382;45676;50247;true;Personal Cambridgeshire Gris;2022-06-17T02:44:40;de navigate;2022-06-17T01:41:37;bus invoice Avon
10;30886;50056;45508;false;Web wireless;2022-06-16T20:38:48;SCSI;2022-06-16T20:49:51;Aplicaciones drive
