id;fecha;tipo;status;fecha_expiracion;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-17;Aruban;false;2022-06-17;asíncrona Riera;2022-06-17T02:08:25;SDD Soporte;2022-06-17T05:05:05;Papelería Loan
2;2022-06-17;synergistic;true;2022-06-16;Teclado;2022-06-17T11:14:00;AGP;2022-06-17T14:40:10;scalable
3;2022-06-16;Metal Solar;false;2022-06-17;transmitting Deportes;2022-06-17T01:18:52;enterprise Granito La;2022-06-17T08:02:32;Marruecos inteligencia circuit
4;2022-06-16;Avon Salchichas Director;false;2022-06-16;Ladrillo;2022-06-17T01:11:56;synthesize Arrabal Irlanda;2022-06-17T08:30:29;GB
5;2022-06-17;analista;false;2022-06-16;Nacional;2022-06-17T12:09:07;B2C Macedonia;2022-06-17T18:03:40;Lado ROI
6;2022-06-17;Municipio deliverables Barranco;true;2022-06-17;Raton intangible channels;2022-06-17T01:13:11;connect Facilitador schemas;2022-06-17T02:16:46;programming Cambridgeshire
7;2022-06-16;markets Global;false;2022-06-17;systems Increible;2022-06-16T22:27:13;Loan;2022-06-17T08:32:39;Juguetería 1080p withdrawal
8;2022-06-17;neural;true;2022-06-17;Bacon engineer bus;2022-06-17T12:54:52;granular Tácticas overriding;2022-06-17T00:48:07;Madera Productor Genérico
9;2022-06-17;Violeta;false;2022-06-17;Pelota Caribbean payment;2022-06-17T00:18:00;Rioja;2022-06-17T18:31:33;invoice
10;2022-06-17;Pequeño;false;2022-06-17;solución Account Ladrillo;2022-06-17T05:38:25;back-end initiatives;2022-06-16T20:52:18;calculating
