id;cantidad;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;39723;Ladrillo Cambridgeshire;2022-06-17T03:15:14;Buckinghamshire Teclado Arquitecto;2022-06-17T13:25:36;XSS efficient
2;2826;navigating Metal Joyería;2022-06-16T21:49:14;Salud Naira;2022-06-16T20:07:31;Malawi Navarra Acero
3;29093;Borders crítica payment;2022-06-17T09:14:08;orientado compress redundant;2022-06-16T22:12:43;Especialista de Puerta
4;14023;visualize Adelante Salud;2022-06-17T10:12:52;analista brand Interno;2022-06-17T14:34:03;invoice Artesanal Ingeniería
5;77518;quantifying leverage;2022-06-17T05:50:02;withdrawal Global;2022-06-17T06:09:46;Mercados global Ingeniero
6;9769;Plástico;2022-06-16T22:30:38;Negro quantifying Bosnia;2022-06-17T18:47:32;Infraestructura interface utilize
7;45561;Checking;2022-06-16T23:47:10;Bebes Rua;2022-06-17T06:25:52;synthesize SMS Andalucía
8;96360;Partida;2022-06-16T23:49:28;program JSON multimedia;2022-06-17T10:30:45;alarm overriding
9;18809;auxiliary Hormigon Bajada;2022-06-16T22:44:20;Entrada Zapatos auxiliary;2022-06-17T11:09:19;Cine
10;26783;magnetic interactiva Guantes;2022-06-17T15:04:51;Silla compressing;2022-06-17T07:13:02;Costa
