id;fecha;cantidad;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-17;13241;index Mesa;2022-06-17T17:37:23;payment;2022-06-16T20:33:07;Account Gris Mancha
2;2022-06-17;72680;killer calculating;2022-06-17T09:53:28;Raton;2022-06-16T21:02:59;Galicia open-source Increible
3;2022-06-17;49434;Genérico;2022-06-17T13:54:41;Rua proyección;2022-06-17T07:31:38;dot-com
4;2022-06-17;46021;ADP Bedfordshire Macao;2022-06-16T20:51:54;EXE deploy Operaciones;2022-06-17T01:05:02;interface USB
5;2022-06-16;15224;Bricolaje Artesanal Fantástico;2022-06-17T02:27:02;ADP;2022-06-16T18:57:37;Director Ingeniero mano
6;2022-06-17;92500;Account Buckinghamshire;2022-06-16T19:11:51;generating Técnico Rojo;2022-06-17T11:22:15;bypass
7;2022-06-17;80585;Yuan;2022-06-16T20:21:22;Investment protocol withdrawal;2022-06-17T01:35:04;tiempo Salida Joyería
8;2022-06-16;87631;de;2022-06-17T08:06:44;Dinar;2022-06-17T06:21:54;mano
9;2022-06-17;79259;Liberia Huerta transform;2022-06-17T02:14:09;Polarizado;2022-06-16T20:41:37;input parsing Blanco
10;2022-06-17;30283;virtual;2022-06-17T05:02:40;Algodón array Public-key;2022-06-17T10:03:46;Algodón
