id;nombre;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;Ejecutivo China Amarillo;acceso Juguetería killer;2022-06-17T10:06:19;solid Rambla nacional;2022-06-16T19:51:24;bypass bypass override
2;generating dot-com action-items;Ramal;2022-06-16T21:43:45;back-end;2022-06-16T22:03:16;Navarra
3;e-enable;interfaces;2022-06-17T14:03:16;International;2022-06-17T02:14:14;Pantalones Jordania
4;action-items Mercado withdrawal;bypass Programable Queso;2022-06-17T13:13:08;Amarillo;2022-06-16T19:29:54;Avon Franc
5;Galicia Metal;HTTP bypass;2022-06-16T20:50:32;Navarra;2022-06-17T15:10:09;wireless
6;Coche;Gris;2022-06-17T09:46:09;firewall HDD Account;2022-06-16T19:04:01;reboot potenciada Producto
7;Obligatorio niches;quantify;2022-06-17T01:12:47;Buckinghamshire solid;2022-06-17T05:56:40;País withdrawal
8;Hormigon Hogar Andalucía;unleash Account;2022-06-17T02:48:24;Jordania Bosnia;2022-06-16T23:15:07;Atún Contabilidad
9;application Versatil sistema;compress;2022-06-17T13:17:54;back synthesizing;2022-06-17T03:18:07;Pound Aldea
10;Ordenador calculate;bluetooth;2022-06-17T06:01:26;Omán;2022-06-17T00:02:46;Colegio Amarillo generate
