id;fecha;rol;status;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-17T02:13:30;groupware incremental;true;open-source Acero;2022-06-16T20:05:02;Pescado;2022-06-17T01:28:45;Programa estandardización
2;2022-06-16T20:33:09;Atún extranet connecting;false;Terrenos Rupee;2022-06-17T18:38:56;Guantes;2022-06-16T23:30:49;Metal
3;2022-06-17T02:08:01;Rojo Auto Joyería;true;Deportes Barrio de;2022-06-17T12:31:36;XML Fantástico Práctico;2022-06-17T17:18:12;Azul
4;2022-06-17T03:23:42;port Madera;false;protocol Directo;2022-06-16T19:01:49;Senior SAS reboot;2022-06-17T08:34:49;Respuesta Artesanal Distrito
5;2022-06-17T17:40:31;redundant Normas Fantástico;true;Operativo;2022-06-16T20:45:40;Aldea quantifying orientado;2022-06-17T15:22:40;Toallas Escalinata array
6;2022-06-17T03:16:59;Contabilidad Exclusivo transmitter;true;Humano Krona Agente;2022-06-16T22:49:47;alarm holistic Investment;2022-06-17T15:19:09;Artesanal e-services
7;2022-06-17T11:15:04;Bedfordshire Guapo;true;quantifying proactive;2022-06-16T20:17:43;Bacon overriding Investment;2022-06-17T04:20:53;applications generate Bélgica
8;2022-06-17T17:24:45;Normas Vasco mobile;true;withdrawal connecting;2022-06-17T00:24:54;array;2022-06-17T04:28:11;Regional Queso monitor
9;2022-06-16T22:59:52;Nauru;true;Extendido intranet redundant;2022-06-17T00:57:40;strategic online;2022-06-16T21:18:06;TCP
10;2022-06-17T05:49:56;state;true;Moda;2022-06-17T05:24:34;Berkshire Ejecutivo Camiseta;2022-06-17T16:57:22;Shilling
