id;fecha;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-17;virtual Sopa Account;2022-06-17T18:11:21;real-time transmitting optical;2022-06-17T10:14:13;XML Mobilidad Nacional
2;2022-06-17;copy International extranet;2022-06-17T10:33:59;Mozambique;2022-06-17T04:20:34;Asistente Toallas real-time
3;2022-06-17;pixel Administrador;2022-06-17T04:04:13;Checking AI Baleares;2022-06-17T17:47:37;Franc Cuesta
4;2022-06-17;Región;2022-06-17T05:15:35;Argentine Baleares;2022-06-16T19:23:28;Savings
5;2022-06-17;payment;2022-06-16T22:40:34;engineer networks;2022-06-16T18:58:41;Polarizado
6;2022-06-16;navigating Liberia;2022-06-17T13:35:57;Morado;2022-06-17T00:45:57;Tonga
7;2022-06-17;Digitalizado;2022-06-17T09:58:46;initiatives Guadalupe Refinado;2022-06-17T02:52:57;systems
8;2022-06-16;Belice neutral;2022-06-16T23:31:46;Investment Canarias;2022-06-16T21:33:51;Berkshire payment
9;2022-06-16;Gerente;2022-06-16T21:34:20;Fantástico hard;2022-06-16T23:31:41;transmitting syndicate Oficial
10;2022-06-17;Guapa Acero Toallas;2022-06-17T11:23:53;AGP;2022-06-17T06:03:12;Técnico
