id;razon_social;rfc;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;Gorro innovative;indexing Colegio;Bricolaje Exclusivo;2022-06-17T04:43:31;engage Canarias la;2022-06-16T23:37:52;Zapatos withdrawal
2;payment;Implementado Manzana;Sri alarm;2022-06-17T04:20:27;Quinta array Increible;2022-06-17T17:54:15;Sopa
3;Guapo;Administrador;intranet Negro connect;2022-06-17T18:44:02;withdrawal Distrito;2022-06-16T22:55:30;relationships
4;crítica;primary IB;interactiva Colon;2022-06-17T11:10:43;Gorro Increible e-tailers;2022-06-16T22:29:31;Increible Monitorizado deposit
5;Account local;y;supply-chains;2022-06-17T03:02:22;Sabroso RSS bluetooth;2022-06-17T11:39:52;direccional
6;Cambridgeshire Librería compressing;embrace;Card calculating New;2022-06-17T05:25:09;Camino;2022-06-17T15:15:48;Checa
7;supply-chains Deportes Decoración;applications datos Centralizado;navigate Market services;2022-06-17T16:57:46;Informática Berkshire Hormigon;2022-06-17T17:15:20;whiteboard mobile front-end
8;Heredado input;cross-platform reintermediate;Omán cross-media;2022-06-17T10:35:27;Práctico;2022-06-16T21:18:16;Guapa
9;fritas Acero;back Zapatos Croatian;Bacon Pescado;2022-06-17T09:01:18;Rojo compress;2022-06-16T20:27:43;Artesanal
10;presupuestaria Seguro;motivadora Toallas Cambridgeshire;Paraguay Papelería;2022-06-17T00:02:24;transmitting Borders;2022-06-17T18:49:12;Administrador
