id;fecha;fecha_vencimiento;numero_poliza;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-17;2022-06-17;Informática collaborative Sopa;mission-critical Rústico;2022-06-17T13:46:09;Totalmente empower hack;2022-06-17T14:52:19;Desarrollador Canarias
2;2022-06-17;2022-06-17;Extrarradio portals application;Acero Kiribati haptic;2022-06-16T22:11:00;Ingeniero Informática;2022-06-17T10:18:30;Nueva
3;2022-06-17;2022-06-17;connecting Facilitador Bebes;fritas transmitting;2022-06-16T21:12:28;back-end Moda;2022-06-16T22:59:21;seize Planificador
4;2022-06-16;2022-06-17;Juguetería Teclado generating;invoice;2022-06-16T19:10:29;Cambridgeshire Amigable synergize;2022-06-17T11:32:53;proyecto deposit red
5;2022-06-16;2022-06-16;Ladrillo;Loan Card Tala;2022-06-17T14:58:17;cross-platform ROI;2022-06-16T20:22:02;Comodos visualize
6;2022-06-17;2022-06-17;Supervisor;focus Joyería;2022-06-16T20:42:57;Kyat Guapo engineer;2022-06-17T00:23:59;Pequeño Calidad
7;2022-06-16;2022-06-17;calculating;Calidad RAM;2022-06-17T04:14:06;Comunidad Aruba Comodos;2022-06-17T00:34:51;Sorprendente
8;2022-06-17;2022-06-16;Pelota;Blanco schemas;2022-06-17T10:14:47;driver;2022-06-17T08:10:31;Polígono
9;2022-06-17;2022-06-17;Interacciones Cine Pescado;Rústico parsing;2022-06-17T07:42:31;killer Orígenes;2022-06-17T07:10:34;firewall Granito
10;2022-06-17;2022-06-16;EXE Bacon;Verde monitor;2022-06-17T03:51:13;Atún;2022-06-17T04:11:55;transmitter
