id;fecha;costo;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-17;72436;hard Pataca;2022-06-16T22:15:24;auxiliary modelo Madera;2022-06-17T14:10:06;initiatives
2;2022-06-17;89543;virtual Zapatos Bélgica;2022-06-17T03:35:01;Pequeño implementación;2022-06-17T06:58:06;Rioja deposit
3;2022-06-17;75850;plug-and-play;2022-06-16T21:14:12;front-end navigating;2022-06-17T02:17:04;experiences
4;2022-06-17;99810;Camiseta collaborative República;2022-06-17T18:15:53;Mesa Configurable;2022-06-17T11:21:20;Central Granito Lari
5;2022-06-17;76818;Madera Pasaje Uzbekistan;2022-06-17T15:51:58;Cedi sensor incentivize;2022-06-17T13:15:44;virtual
6;2022-06-17;8196;bypass Paradigma;2022-06-16T20:25:17;Barranco THX;2022-06-17T00:53:59;Morado mano Cataluña
7;2022-06-17;36656;implement;2022-06-17T09:47:16;Violeta wireless Kroon;2022-06-16T20:54:11;Ingeniero
8;2022-06-17;6415;payment e-services;2022-06-17T04:23:52;Cliente;2022-06-16T23:14:40;Carretera
9;2022-06-17;74529;neutral Coordinador Central;2022-06-17T01:47:37;invoice SMTP;2022-06-16T21:54:01;Auto Ucrania quantifying
10;2022-06-17;19608;Morado infomediaries;2022-06-17T14:06:22;Bedfordshire Cliente;2022-06-17T07:16:24;leading-edge
