id;fecha;ppu;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-16;49598;synergies a República;2022-06-17T09:17:44;Investment 24/365;2022-06-16T21:58:07;Rojo
2;2022-06-17;17722;Azul Money codificar;2022-06-16T23:26:11;Pequeño PNG;2022-06-17T17:40:57;Sopa models Ensalada
3;2022-06-17;18452;Guinea-Bisau;2022-06-17T14:57:22;Director;2022-06-16T20:22:37;Usabilidad Coche Marketing
4;2022-06-17;35390;Guapa;2022-06-16T19:22:12;en invoice;2022-06-16T23:30:27;enterprise backing orientado
5;2022-06-17;31500;Violeta Ergonómico;2022-06-17T08:13:10;Uzbekistan Métricas Consultor;2022-06-17T17:43:37;deposit Ramal Papelería
6;2022-06-17;87808;Morado;2022-06-17T07:33:27;open-source Reducido;2022-06-16T22:44:44;maximize Violeta Dinar
7;2022-06-16;86060;Islandia Infraestructura;2022-06-16T21:33:46;Interacciones;2022-06-17T06:10:16;Programa Artesanal Buckinghamshire
8;2022-06-17;72635;Account extend Deportes;2022-06-17T14:02:14;Aplicaciones enhance;2022-06-17T08:01:52;models
9;2022-06-16;89741;Berkshire Rico León;2022-06-17T18:13:53;Monte Italia;2022-06-16T21:40:37;circuit
10;2022-06-17;26719;Avon;2022-06-17T05:19:01;Relacciones;2022-06-17T12:08:37;connect Verde Berkshire
