id;fecha_caducidad;cantidad;precio_compra;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-17;26454;93887;Acero;2022-06-17T00:46:21;engineer;2022-06-16T20:49:18;connecting Práctico
2;2022-06-17;83202;79224;reboot Futuro;2022-06-17T10:54:01;real-time;2022-06-17T05:11:43;generating Estratega
3;2022-06-17;77270;69381;Teclado;2022-06-17T12:06:07;Adelante e-business Director;2022-06-17T07:57:36;Re-implementado
4;2022-06-16;71896;30293;Sorprendente;2022-06-17T13:09:57;Navarra Buckinghamshire innovative;2022-06-17T01:28:42;unleash Metal
5;2022-06-17;66751;29757;expedite holística Andalucía;2022-06-17T17:05:27;Metal killer Relacciones;2022-06-17T09:38:05;cultivate
6;2022-06-16;6338;44110;Cataluña Sabroso Blanco;2022-06-16T20:25:33;Buckinghamshire;2022-06-17T07:43:12;withdrawal Peso Dollar
7;2022-06-16;48444;22462;Ergonómico navigating;2022-06-16T21:07:16;redefine Central óptima;2022-06-16T20:17:35;expedite interfaces
8;2022-06-17;30801;75189;Papelería deposit;2022-06-17T06:52:38;Moda Joyería Mancha;2022-06-17T05:18:11;reboot withdrawal
9;2022-06-17;81911;59410;bus best-of-breed Vía;2022-06-17T04:49:48;interactive Conjunto;2022-06-16T23:56:38;Metal hack
10;2022-06-17;53471;458;FTP Violeta Madera;2022-06-16T20:13:44;Avon customized scale;2022-06-17T15:50:11;Salida sticky
