id;cantidad;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;83042;Orientado horas auxiliary;2022-06-17T15:23:28;applications navigate Regional;2022-06-16T19:28:55;Market
2;60767;Caserio streamline bandwidth;2022-06-17T06:11:45;RAM Bacon;2022-06-17T10:49:48;cross-platform Salud
3;95897;Programa Salud Director;2022-06-17T10:01:09;Morado programming;2022-06-16T19:47:22;Avenida mesh Progresivo
4;49298;Mascotas;2022-06-17T06:54:35;Clonado;2022-06-17T03:59:10;Metal
5;70111;alarm Comunidad;2022-06-17T15:58:00;Borders;2022-06-17T04:21:12;Buckinghamshire Verde quantify
6;48431;República Bloque Monitorizado;2022-06-17T12:49:43;Lempira architect;2022-06-16T22:53:09;Rojo
7;53415;Borders Sabroso;2022-06-17T12:54:05;Contabilidad;2022-06-16T20:18:04;leverage moderador Uruguay
8;39586;Web Manzana;2022-06-17T01:33:53;Senior definición Pequeño;2022-06-17T05:32:07;Suriname
9;12377;Morado;2022-06-17T15:01:29;out-of-the-box;2022-06-17T01:49:47;Fantástico La invoice
10;84659;Card Guapo;2022-06-17T01:31:10;Verde Bebes;2022-06-17T01:18:03;evolve
