id;fecha;total;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-17T01:51:25;99333;Vasco;2022-06-16T22:46:23;driver Hormigon Account;2022-06-17T00:31:42;COM Avanzado
2;2022-06-17T10:47:47;72033;users navigate;2022-06-17T08:33:32;Jefe bluetooth Verde;2022-06-17T10:59:57;cutting-edge invoice Sorprendente
3;2022-06-17T13:55:20;76241;SDD Líbano and;2022-06-17T13:23:29;1080p;2022-06-17T07:30:30;Azul
4;2022-06-17T14:57:05;93885;Eslovaquia Castilla SAS;2022-06-17T08:59:24;Dollar Bedfordshire Guilder;2022-06-17T10:27:21;Violeta neural
5;2022-06-16T22:13:58;40069;Yen Refinado enterprise;2022-06-17T01:51:14;Baleares parse Gorro;2022-06-17T09:52:39;servidor
6;2022-06-17T04:33:10;98779;program monetize;2022-06-17T02:18:54;productividad Práctico Kwanza;2022-06-17T08:07:20;matrix
7;2022-06-17T16:03:06;63006;Riel connecting;2022-06-16T20:24:09;a;2022-06-16T21:32:50;Cantabria
8;2022-06-17T05:01:31;57289;supply-chains;2022-06-16T21:27:24;Deportes unleash;2022-06-16T20:41:58;Camiseta Relacciones
9;2022-06-16T19:44:46;8868;partnerships Salud;2022-06-17T07:03:14;navigate;2022-06-16T20:54:50;Adaptativo
10;2022-06-17T06:20:31;56604;Pizza e-business hack;2022-06-17T15:29:36;SSL up Bicicleta;2022-06-17T14:23:51;bypass
