id;nombre;descripcion;descripcion_content_type;duracion_estimada;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;content Bedfordshire;../fake-data/blob/hipster.png;image/png;2022-06-17T06:44:27;Refinado Toallas;2022-06-17T16:30:59;online Guantes port;2022-06-17T07:42:36;Senior
2;Central Checking;../fake-data/blob/hipster.png;image/png;2022-06-16T21:36:30;Seguridada Plástico;2022-06-17T11:37:56;International mediante La;2022-06-17T04:48:44;Pula
3;Acero extend Datos;../fake-data/blob/hipster.png;image/png;2022-06-17T12:57:58;Realineado Cambridgeshire withdrawal;2022-06-17T05:49:55;impactful Gris;2022-06-16T21:31:05;calculating auxiliary Increible
4;wireless;../fake-data/blob/hipster.png;image/png;2022-06-17T01:55:36;Dollar Sorprendente Negro;2022-06-17T18:56:02;Genérico;2022-06-17T16:43:21;dot-com bleeding-edge Actualizable
5;Horizontal Patatas SMS;../fake-data/blob/hipster.png;image/png;2022-06-17T04:42:11;Huerta Andalucía Teclado;2022-06-16T21:21:39;e-enable AGP Mercado;2022-06-17T09:28:04;Infraestructura
6;metrics Orgánico Guapa;../fake-data/blob/hipster.png;image/png;2022-06-17T02:07:52;firewall Account;2022-06-16T19:01:05;Egipto;2022-06-17T01:37:24;Ergonómico
7;Refinado;../fake-data/blob/hipster.png;image/png;2022-06-17T17:54:27;Distribuido Poblado SDD;2022-06-17T15:27:02;Marroquinería Ergonómico monetize;2022-06-16T19:56:36;definición Normas rich
8;Bulgarian state transmit;../fake-data/blob/hipster.png;image/png;2022-06-17T09:52:21;Usabilidad cliente;2022-06-16T22:02:05;cross-platform;2022-06-17T08:37:22;Negro SDD bandwidth
9;program International Cambridgeshire;../fake-data/blob/hipster.png;image/png;2022-06-16T22:11:52;Negro Obligatorio transition;2022-06-17T08:28:52;Hormigon;2022-06-17T06:18:12;Albania index
10;Sector Juguetería supply-chains;../fake-data/blob/hipster.png;image/png;2022-06-17T08:20:47;metrics;2022-06-17T07:00:50;PNG Rústico Morado;2022-06-16T23:12:52;Galicia Salud cero
