id;fecha;numero_serie;km_actual;tipo_adquisicion;imagen;imagen_content_type;color;descripcion;descripcion_content_type;status;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-17;Coche Producto Persistente;19773;e-business;../fake-data/blob/hipster.png;image/png;Morado;../fake-data/blob/hipster.png;image/png;false;1080p Global;2022-06-17T15:05:16;Bacon;2022-06-17T10:12:41;back-end Amarillo Rojo
2;2022-06-17;alarm;75043;Amigable Fundamental copying;../fake-data/blob/hipster.png;image/png;Morado;../fake-data/blob/hipster.png;image/png;true;Cantabria plug-and-play;2022-06-17T14:39:23;Tunisian;2022-06-17T04:46:17;Música cross-platform open-source
3;2022-06-17;Marketing array bypassing;43736;Martinica Región Ensalada;../fake-data/blob/hipster.png;image/png;Negro;../fake-data/blob/hipster.png;image/png;true;Atún Cantabria;2022-06-17T06:29:17;Ordenador deposit Normas;2022-06-16T20:33:45;bypassing strategize
4;2022-06-16;bandwidth la;90772;Camiseta moderador value-added;../fake-data/blob/hipster.png;image/png;Gris;../fake-data/blob/hipster.png;image/png;true;Turquia;2022-06-17T06:44:52;Sorprendente paralelismo;2022-06-17T13:56:05;Ramal País Humano
5;2022-06-17;Travesía;59724;Dinánmico;../fake-data/blob/hipster.png;image/png;Blanco;../fake-data/blob/hipster.png;image/png;false;panel Nakfa Avon;2022-06-17T08:24:38;convergence;2022-06-17T03:54:27;Bulgaria Borders Global
6;2022-06-17;Robusto connect deposit;35430;programming;../fake-data/blob/hipster.png;image/png;Gris;../fake-data/blob/hipster.png;image/png;true;Negro Algodón Macedonia;2022-06-17T15:39:05;Desarrollador;2022-06-17T00:54:58;bifurcada Camino modular
7;2022-06-17;application Infraestructura La;50305;Bielorusia programming;../fake-data/blob/hipster.png;image/png;Violeta;../fake-data/blob/hipster.png;image/png;true;Vía Ingeniero Rojo;2022-06-17T02:56:53;up;2022-06-17T16:23:50;HTTP
8;2022-06-17;Nacional Reactivo;30760;invoice;../fake-data/blob/hipster.png;image/png;Negro;../fake-data/blob/hipster.png;image/png;true;Morado orquestar Investment;2022-06-17T15:11:55;Metal Berkshire;2022-06-17T08:35:19;Administrador Fantástico
9;2022-06-17;Sector Hormigon;9724;Navarra Sopa;../fake-data/blob/hipster.png;image/png;Morado;../fake-data/blob/hipster.png;image/png;false;payment;2022-06-17T00:49:28;Acero;2022-06-17T09:59:47;Castilla PNG Hogar
10;2022-06-17;global Investment Pequeño;40309;incubate Mesa application;../fake-data/blob/hipster.png;image/png;Morado;../fake-data/blob/hipster.png;image/png;true;Acero;2022-06-17T17:17:15;Grupo;2022-06-17T12:30:03;rich
