id;fecha;total_estimado;total_real;observaciones_generales;observaciones_generales_content_type;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-17;86913;4976;../fake-data/blob/hipster.png;image/png;lateral Savings;2022-06-17T09:57:22;recontextualize sexy;2022-06-17T15:52:31;intuitive Pollo
2;2022-06-17;27167;60289;../fake-data/blob/hipster.png;image/png;bleeding-edge de Mozambique;2022-06-17T05:55:48;Morado compress;2022-06-17T09:25:10;quantifying USB
3;2022-06-17;96234;94221;../fake-data/blob/hipster.png;image/png;Genérico;2022-06-17T13:12:44;Cliente solutions;2022-06-17T09:25:31;best-of-breed Refinado SDD
4;2022-06-17;48308;4952;../fake-data/blob/hipster.png;image/png;Account Avon niches;2022-06-16T20:44:59;intangible Pequeño;2022-06-17T02:40:29;Acero scale proyección
5;2022-06-17;30157;1629;../fake-data/blob/hipster.png;image/png;Gris visualize;2022-06-17T08:54:06;e-services Líbano withdrawal;2022-06-17T03:14:51;Métricas parsing
6;2022-06-17;23820;26310;../fake-data/blob/hipster.png;image/png;Proactivo;2022-06-16T22:03:53;networks;2022-06-17T15:50:55;Opcional connecting Account
7;2022-06-16;75014;53196;../fake-data/blob/hipster.png;image/png;Gorro mobile;2022-06-17T14:31:52;Blanco paralelismo Edificio;2022-06-17T02:00:09;Berkshire extend Torrente
8;2022-06-17;24219;23493;../fake-data/blob/hipster.png;image/png;Savings;2022-06-17T09:17:07;Supervisor;2022-06-17T17:51:28;Verde
9;2022-06-17;73919;14782;../fake-data/blob/hipster.png;image/png;Directo;2022-06-17T16:12:09;Dinánmico;2022-06-17T01:00:16;card Corporativo payment
10;2022-06-17;97800;5156;../fake-data/blob/hipster.png;image/png;reboot ejecutiva;2022-06-17T13:51:05;Progresivo Asociado;2022-06-17T07:47:41;Cantabria Marroquinería Ergonómico
