id;fecha;status;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-16;true;SDD Polarizado;2022-06-17T08:07:14;analizada Acero circuit;2022-06-16T20:01:49;Sorprendente Ejecutivo Amarillo
2;2022-06-17;false;haptic;2022-06-17T12:51:55;e-commerce array intangible;2022-06-16T21:14:11;Tácticas
3;2022-06-16;true;bluetooth Taka;2022-06-17T18:29:06;Castilla Hecho;2022-06-17T06:42:05;Ergonómico
4;2022-06-17;true;innovative bandwidth;2022-06-17T08:10:18;Metal;2022-06-17T12:21:28;Bacon withdrawal quantifying
5;2022-06-17;true;program;2022-06-17T01:06:08;connect;2022-06-17T01:34:36;Madagascar
6;2022-06-17;false;Refinado base Borders;2022-06-17T15:22:57;Refinado fritas ejecutiva;2022-06-17T06:27:37;input
7;2022-06-17;false;payment Gold interactiva;2022-06-17T16:03:13;input deposit Brazilian;2022-06-17T16:25:45;Hormigon
8;2022-06-17;true;markets;2022-06-16T22:43:55;Oficial Leu Checking;2022-06-17T16:02:00;HTTP Andalucía Joyería
9;2022-06-17;false;JBOD;2022-06-17T14:26:24;out-of-the-box;2022-06-17T03:43:27;synthesizing ROI Money
10;2022-06-17;true;capacitor;2022-06-17T07:45:35;wireless Oficial;2022-06-16T22:44:06;Checking Cambridgeshire
