id;fecha;total;create_by_user;created_on;modify_by_user;modified_on;audit_status
1;2022-06-17T14:12:22;84409;revolutionary magnetic Grupo;2022-06-17T08:17:07;6th payment Savings;2022-06-17T12:32:40;Guapo Librería Futuro
2;2022-06-16T23:26:39;83850;nacional;2022-06-17T00:59:50;evolve Joyería;2022-06-16T23:27:39;Loan virtual División
3;2022-06-16T22:10:28;32586;GB reboot;2022-06-17T03:18:30;Genérico;2022-06-17T04:36:08;SMS
4;2022-06-17T06:24:55;18288;de;2022-06-17T02:10:50;Increible Investment withdrawal;2022-06-17T01:04:46;Oro transicional
5;2022-06-17T10:28:58;73622;Rojo array;2022-06-17T09:15:46;Borders Supervisor;2022-06-17T15:50:33;payment
6;2022-06-17T08:46:09;25181;bypassing Electrónica Implementación;2022-06-17T00:31:02;Refinado Entrada Moda;2022-06-17T05:52:25;invoice Gris
7;2022-06-17T12:53:57;57058;Joyería;2022-06-17T18:33:19;generate strategic Granito;2022-06-17T02:23:36;payment feed
8;2022-06-16T19:27:03;77487;incubate rich plug-and-play;2022-06-17T14:36:29;intuitive;2022-06-17T17:12:10;Seguridada Representante payment
9;2022-06-17T02:46:30;32921;Algodón;2022-06-16T19:07:26;Joyería;2022-06-16T22:53:29;Bermuda synthesize
10;2022-06-17T15:25:12;95012;Bicicleta;2022-06-17T06:31:33;Canada virtual;2022-06-17T13:41:44;Fundamental Forint Verde
